activity,mean,std,variance,minimum,maximum
99,126927812462.7019,"time_s      1.247084e+12
activity    0.000000e+00
lw_x        1.000000e+00
lw_y        1.000000e+00
lw_z        1.000000e+00
lh_x        1.000000e+00
lh_y        1.000000e+00
lh_z        1.000000e+00
la_x        1.000000e+00
la_y        1.000000e+00
la_z        1.000000e+00
ra_x        1.000000e+00
ra_y        1.000000e+00
ra_z        1.000000e+00
dtype: float64","time_s      1.555218e+24
activity    0.000000e+00
lw_x        1.000000e+00
lw_y        1.000000e+00
lw_z        1.000000e+00
lh_x        1.000000e+00
lh_y        1.000000e+00
lh_z        1.000000e+00
la_x        1.000000e+00
la_y        1.000000e+00
la_z        1.000000e+00
ra_x        1.000000e+00
ra_y        1.000000e+00
ra_z        1.000000e+00
dtype: float64",-15.485118233797577,3427000000000.0
77,72925431750.83904,"time_s      6.263041e+11
activity    0.000000e+00
lw_x        1.000000e+00
lw_y        1.000000e+00
lw_z        1.000000e+00
lh_x        1.000000e+00
lh_y        1.000000e+00
lh_z        1.000000e+00
la_x        1.000000e+00
la_y        1.000000e+00
la_z        1.000000e+00
ra_x        1.000000e+00
ra_y        1.000000e+00
ra_z        1.000000e+00
dtype: float64","time_s      3.922569e+23
activity    0.000000e+00
lw_x        1.000000e+00
lw_y        1.000000e+00
lw_z        1.000000e+00
lh_x        1.000000e+00
lh_y        1.000000e+00
lh_z        1.000000e+00
la_x        1.000000e+00
la_y        1.000000e+00
la_z        1.000000e+00
ra_x        1.000000e+00
ra_y        1.000000e+00
ra_z        1.000000e+00
dtype: float64",-9.287644969210689,2960460000000.0
4,160740548577.73358,"time_s      4.097319e+11
activity    0.000000e+00
lw_x        1.000000e+00
lw_y        1.000000e+00
lw_z        1.000000e+00
lh_x        1.000000e+00
lh_y        1.000000e+00
lh_z        1.000000e+00
la_x        1.000000e+00
la_y        1.000000e+00
la_z        1.000000e+00
ra_x        1.000000e+00
ra_y        1.000000e+00
ra_z        1.000000e+00
dtype: float64","time_s      1.678803e+23
activity    0.000000e+00
lw_x        1.000000e+00
lw_y        1.000000e+00
lw_z        1.000000e+00
lh_x        1.000000e+00
lh_y        1.000000e+00
lh_z        1.000000e+00
la_x        1.000000e+00
la_y        1.000000e+00
la_z        1.000000e+00
ra_x        1.000000e+00
ra_y        1.000000e+00
ra_z        1.000000e+00
dtype: float64",-14.192445968425893,2958390000000.0
3,51717733153.85034,"time_s      2.357008e+11
activity    0.000000e+00
lw_x        1.000000e+00
lw_y        1.000000e+00
lw_z        1.000000e+00
lh_x        1.000000e+00
lh_y        1.000000e+00
lh_z        1.000000e+00
la_x        1.000000e+00
la_y        1.000000e+00
la_z        1.000000e+00
ra_x        1.000000e+00
ra_y        1.000000e+00
ra_z        1.000000e+00
dtype: float64","time_s      5.555486e+22
activity    0.000000e+00
lw_x        1.000000e+00
lw_y        1.000000e+00
lw_z        1.000000e+00
lh_x        1.000000e+00
lh_y        1.000000e+00
lh_z        1.000000e+00
la_x        1.000000e+00
la_y        1.000000e+00
la_z        1.000000e+00
ra_x        1.000000e+00
ra_y        1.000000e+00
ra_z        1.000000e+00
dtype: float64",-14.615155879499504,1059500000000.0
2,46229324299.5893,"time_s      2.248510e+11
activity    0.000000e+00
lw_x        1.000000e+00
lw_y        1.000000e+00
lw_z        1.000000e+00
lh_x        1.000000e+00
lh_y        1.000000e+00
lh_z        1.000000e+00
la_x        1.000000e+00
la_y        1.000000e+00
la_z        1.000000e+00
ra_x        1.000000e+00
ra_y        1.000000e+00
ra_z        1.000000e+00
dtype: float64","time_s      5.055796e+22
activity    0.000000e+00
lw_x        1.000000e+00
lw_y        1.000000e+00
lw_z        1.000000e+00
lh_x        1.000000e+00
lh_y        1.000000e+00
lh_z        1.000000e+00
la_x        1.000000e+00
la_y        1.000000e+00
la_z        1.000000e+00
ra_x        1.000000e+00
ra_y        1.000000e+00
ra_z        1.000000e+00
dtype: float64",-9.531437552302155,1040260000000.0
1,51443234873.5419,"time_s      2.415549e+11
activity    0.000000e+00
lw_x        1.000000e+00
lw_y        1.000000e+00
lw_z        1.000000e+00
lh_x        1.000000e+00
lh_y        1.000000e+00
lh_z        1.000000e+00
la_x        1.000000e+00
la_y        1.000000e+00
la_z        1.000000e+00
ra_x        1.000000e+00
ra_y        1.000000e+00
ra_z        1.000000e+00
dtype: float64","time_s      5.834875e+22
activity    0.000000e+00
lw_x        1.000000e+00
lw_y        1.000000e+00
lw_z        1.000000e+00
lh_x        1.000000e+00
lh_y        1.000000e+00
lh_z        1.000000e+00
la_x        1.000000e+00
la_y        1.000000e+00
la_z        1.000000e+00
ra_x        1.000000e+00
ra_y        1.000000e+00
ra_z        1.000000e+00
dtype: float64",-9.335389504218913,1125820000000.0
